articleName,realEstateTypeName,tradeTypeName,floorInfo,dealOrWarrantPrc,areaName,area2,buildingName,cpPcArticleUrl
e편한세상송도,아파트,월세,중/39,"3,000",95B,70,114동,http://rego.kr/rd/rd.asp?UID=2237312379
e편한세상송도,아파트,전세,고/33,"2억 7,000",114A,84,108동,http://homesdid.co.kr/rd.asp?UID=2237365975
e편한세상송도,아파트,매매,중/33,"8억 5,000",113B,84,108동,http://rego.kr/rd/rd.asp?UID=2237375524
e편한세상송도,아파트,매매,중/39,8억,113B,84,107동,http://homesdid.co.kr/rd.asp?UID=2237289047
e편한세상송도,아파트,월세,저/39,1억,113B,84,111동,http://rego.kr/rd/rd.asp?UID=2237282413
e편한세상송도,아파트,매매,중/38,6억,95A,70,103동,http://rego.kr/rd/rd.asp?UID=2237376754
e편한세상송도,아파트,전세,고/37,"3억 4,000",113B,84,110동,http://rego.kr/rd/rd.asp?UID=2237279719
e편한세상송도,아파트,월세,26/37,"2,000",95A,70,104동,http://rego.kr/rd/rd.asp?UID=2236382939
e편한세상송도,아파트,전세,25/37,"3억 1,000",114A,84,110동,https://realestate.hankyung.com/naver-listing?UID=2236484536
e편한세상송도,아파트,매매,2/37,"7억 8,000",114A,84,110동,http://rego.kr/rd/rd.asp?UID=2236220882
e편한세상송도,아파트,전세,2/37,"3억 5,000",114A,84,110동,http://homesdid.co.kr/rd.asp?UID=2236249275
e편한세상송도,아파트,매매,중/38,"7억 5,000",95A,70,106동,http://rego.kr/rd/rd.asp?UID=2237333663
e편한세상송도,아파트,전세,고/37,"2억 5,000",95A,70,104동,http://rego.kr/rd/rd.asp?UID=2237389923
e편한세상송도,아파트,매매,중/39,"5억 5,000",95B-1,70,115동,https://realestate.hankyung.com/naver-listing?UID=2237361226
e편한세상송도,아파트,월세,5/38,1억,95B-1,70,102동,http://land.mk.co.kr/rd/rd.php?UID=2236378414
e편한세상송도,아파트,매매,16/38,"5억 8,000",95A,70,106동,http://www.serve.co.kr/naver/rd.asp?UID=2236367300
e편한세상송도,아파트,매매,20/39,"5억 7,000",95B,70,115동,http://www.serve.co.kr/naver/rd.asp?UID=2236316623
e편한세상송도,아파트,매매,고/35,6억,95A,70,105동,http://rter2.com/naver/rd?UID=2236891265
e편한세상송도,아파트,전세,중/38,"2억 5,000",95A,70,106동,http://rego.kr/rd/rd.asp?UID=2237098456
e편한세상송도,아파트,매매,중/38,6억,95A,70,106동,http://rego.kr/rd/rd.asp?UID=2237098103
e편한세상송도,아파트,월세,고/35,"1억 5,000",95A,70,105동,http://rter2.com/naver/rd?UID=2237029802
e편한세상송도,아파트,전세,27/39,"3억 5,000",114A,84,111동,http://rego.kr/rd/rd.asp?UID=2236109152
e편한세상송도,아파트,월세,5/39,"5,000",114A,84,111동,http://rego.kr/rd/rd.asp?UID=2236056228
e편한세상송도,아파트,월세,고/39,"5,000",95A,70,115동,http://rego.kr/rd/rd.asp?UID=2237015666
e편한세상송도,아파트,전세,저/39,"2억 5,000",95B,70,101동,http://rego.kr/rd/rd.asp?UID=2237034165
e편한세상송도,아파트,전세,고/39,3억,95A,70,115동,http://rego.kr/rd/rd.asp?UID=2237015963
e편한세상송도,아파트,월세,고/37,"3,000",114A,84,110동,http://rego.kr/rd/rd.asp?UID=2237049398
e편한세상송도,아파트,월세,중/38,"2,000",95A,70,106동,https://realestate.hankyung.com/naver-listing?UID=2237162230
e편한세상송도,아파트,매매,고/39,"5억 5,000",95A,70,115동,http://www.serve.co.kr/naver/rd.asp?UID=2237188407
e편한세상송도,아파트,월세,저/33,"3,000",114A,84,108동,http://rego.kr/rd/rd.asp?UID=2237099016
e편한세상송도,아파트,전세,고/35,3억,114A,84,109동,http://rego.kr/rd/rd.asp?UID=2237176078
e편한세상송도,아파트,월세,고/39,1억,95A,70,113동,http://rego.kr/rd/rd.asp?UID=2237044763
e편한세상송도,아파트,매매,저/39,"6억 1,000",95A,70,101동,http://rego.kr/rd/rd.asp?UID=2237122363
e편한세상송도,아파트,전세,저/39,"2억 4,000",95B-1,70,115동,http://rego.kr/rd/rd.asp?UID=2237066217
e편한세상송도,아파트,전세,24/37,"2억 5,000",95B,70,104동,https://realestate.hankyung.com/naver-listing?UID=2237584672
e편한세상송도,아파트,전세,저/39,"3억 2,000",114A,84,112동,https://realestate.hankyung.com/naver-listing?UID=2236920420
e편한세상송도,아파트,매매,중/39,"5억 7,000",95A,70,115동,http://rego.kr/rd/rd.asp?UID=2236942120
e편한세상송도,아파트,월세,저/33,"3,000",114A,84,108동,http://rego.kr/rd/rd.asp?UID=2236999080
e편한세상송도,아파트,전세,저/33,"2억 6,000",114A,84,108동,http://rego.kr/rd/rd.asp?UID=2237000995
e편한세상송도,아파트,월세,29/35,"5,000",114A,84,109동,http://rego.kr/rd/rd.asp?UID=2235842232
e편한세상송도,아파트,매매,37/38,"6억 2,000",95A,70,103동,http://rego.kr/rd/rd.asp?UID=2235875681
e편한세상송도,아파트,매매,13/35,"7억 5,000",113B,84,109동,http://rego.kr/rd/rd.asp?UID=2235869014
e편한세상송도,아파트,매매,11/38,"8억 7,000",95A,70,102동,http://land.mk.co.kr/rd/rd.php?UID=2235862070
e편한세상송도,아파트,매매,18/39,"7억 5,000",95A,70,101동,http://land.mk.co.kr/rd/rd.php?UID=2235863914
e편한세상송도,아파트,매매,10/35,8억,114A,84,109동,http://rego.kr/rd/rd.asp?UID=2235863313
e편한세상송도,아파트,매매,중/38,"6억 8,000",95A,70,106동,http://land.mk.co.kr/rd/rd.php?UID=2236837930
e편한세상송도,아파트,월세,중/39,2억,95A,70,114동,http://homesdid.co.kr/rd.asp?UID=2236884078
e편한세상송도,아파트,전세,저/39,"2억 1,000",95A,70,114동,http://rego.kr/rd/rd.asp?UID=2236953394
e편한세상송도,아파트,전세,중/39,4억,114A,84,112동,http://www.serve.co.kr/naver/rd.asp?UID=2236992510
e편한세상송도,아파트,전세,고/37,3억,113B,84,110동,http://land.mk.co.kr/rd/rd.php?UID=2236837468
e편한세상송도,아파트,매매,고/39,"7억 3,000",95A,70,101동,http://www.serve.co.kr/naver/rd.asp?UID=2237046351
e편한세상송도,아파트,매매,중/35,"7억 5,000",113B,84,109동,http://rego.kr/rd/rd.asp?UID=2236835590
e편한세상송도,아파트,전세,중/39,"2억 5,000",95B-1,70,113동,http://homesdid.co.kr/rd.asp?UID=2236852383
e편한세상송도,아파트,전세,중/39,"2억 5,000",95A,70,114동,https://realestate.hankyung.com/naver-listing?UID=2236835006
e편한세상송도,아파트,월세,중/39,1억,95B-1,70,113동,http://rego.kr/rd/rd.asp?UID=2237035969
e편한세상송도,아파트,전세,저/39,"2억 5,000",95A,70,101동,http://rego.kr/rd/rd.asp?UID=2236821592
e편한세상송도,아파트,월세,저/33,"3,000",114A,84,108동,http://homesdid.co.kr/rd.asp?UID=2236816776
e편한세상송도,아파트,매매,중/33,"8억 8,500",114A,84,108동,http://rego.kr/rd/rd.asp?UID=2236775018
e편한세상송도,아파트,매매,33/35,9억,95A,70,105동,http://www.serve.co.kr/naver/rd.asp?UID=2235977236
e편한세상송도,아파트,매매,35/39,"10억 7,000",114A,84,111동,http://rego.kr/rd/rd.asp?UID=2235755925
e편한세상송도,아파트,매매,고/38,"5억 4,000",95B-1,70,102동,http://land.mk.co.kr/rd/rd.php?UID=2236702205
